GATE_SB_SL: -2452.429><-297.6516><-1967.124><-784.3202><0><><48><35
GATE_GW_SL: -3223.037><188.0358><-2244.575><200.2538><1><><48><35
GATE_SL_MS: 3603.39><1023.312><2697.337><774.8381><0><><48><35
GATE_MS_SL: 2080.806><-930.2123><1575.605><-827.9322><0><><48><35
GATE_SL_CL: 1283.433><449.2973><1423.141><1124.387><2><><48><35
GATE_SL_VS: -2027.78><-519.7192><-1441.261><-618.9878><1><><48><35
SL_A08: -3133.885><76.09947><-2184.514><70.778><1><><54><35
SL_S07: -3250.927><76.09891><-2233.271><-62.91924><1><><48><35
SL_C12: -2824.434><69.57061><-2073.482><66.60353><1><><152><35
SL_A14: -435.0097><-36.64434><27.41885><720.9428><2><Shoreline><48><35
SL_E03: 128.9567><-37.16756><41.70376><-156.654><2><Shoreline><258><35
SL_A02: -620.8865><76.09947><-175.5164><867.7788><2><Shoreline><48><35
SL_A17: -623.8466><-37.22116><-175.0096><721.2391><2><Shoreline><48><35
SL_C01: -804.8859><59.09942><-384.5166><769.7788><2><Shoreline><48><121
SL_A13: -749.1378><-157.9004><-468.1443><-58.51904><1><Shoreline><48><35
SL_B01: -1005.885><157.0996><-588.5154><816.7788><2><Shoreline><48><121
SL_F01: -2277.886><8.099841><-1755.516><-15.22222><1><Shoreline><210><78
SL_C02: -1830.886><72.09951><-1352.516><490.7782><0><Shoreline><180><35
SL_C10: -1734.885><-320.8998><-1226.516><-293.2218><2><Shoreline><54><121
SL_A10: -1429.886><-417.9009><-1092.516><-269.2222><2><Shoreline><48><35
SL_F02: -1252.886><6.099408><-941.516><416.7778><0><Shoreline><162><78
SL_S05: -1257.808><40.74719><-830.8968><272.1915><0><><48><35
SL_D06: -1466.886><71.09951><-1129.516><877.7788><2><Shoreline><213><35
SL_D04: -832.8859><9.099652><-579.5154><420.7778><0><Shoreline><104><78
SL_A12: -849.6633><-158.9005><-586.9604><-56.86125><1><Shoreline><48><35
SL_H02: -18.88612><9.099742><-245.516><436.7778><0><Shoreline><210><78
SL_H03: 942.1149><69.09951><388.4828><-26.22212><0><Shoreline><444><38
SL_C09: 1840.117><73.09947><1329.484><-17.22223><0><Looks to the Moon><155><35
SL_A16: 1999.876><187.2279><1539.849><63.84512><0><Looks to the Moon><48><35
SL_S10: 1884.61><186.7092><1423.131><61.62442><0><><48><35
SL_I01: 2314.115><168.0997><1661.488><-38.22218><0><Looks to the Moon><152><121
SL_A15: 2617.504><174.7892><2001.626><48.56666><0><><48><35
SL_S06: 2614.566><280.5711><1999.516><161.6037><0><><48><35
SL_C08: -2027.886><-314.8998><-1446.516><-481.222><1><Shoreline><48><121
SL_C05: -1697.886><-415.9009><-1293.516><-462.222><1><Shoreline><162><35
SL_S09: -1415.711><-415.8839><-1051.672><-372.8957><1><><48><35
SL_C04: -1287.886><-307.9005><-936.516><-476.222><1><Shoreline><54><121
SL_TUNNELA: -1584.78><-528.7192><-1307.261><-623.9878><1><Shoreline><248><35
SL_D01: -1178.886><4.099447><-907.516><32.77767><1><Shoreline><104><78
SL_D02: -1081.886><-361.8998><-778.516><-557.2223><1><Shoreline><54><154
SL_D03: -824.8859><-461.9007><-565.5154><-533.2223><1><Shoreline><105><78
SL_A07: -661.8859><-348.9009><-316.5165><-450.222><1><Shoreline><48><35
SL_A04: -785.8859><-275.9005><-473.5151><-326.2222><1><Shoreline><48><35
SL_S03: -845.8104><-199.2525><-584.8968><-325.8083><2><><48><35
SL_E01: -524.8867><-284.8998><-208.5157><-538.2223><1><Shoreline><48><207
SL_B04: -520.8867><308.0991><-117.5157><-51.22223><0><Shoreline><48><121
SL_C03: -520.2366><-55.42575><-299.5165><-48.22209><0><Shoreline><66><121
SL_A11: -648.6647><-189.9001><-329.9612><-191.861><1><Shoreline><48><35
SL_A05: -355.8863><-378.9009><-85.51581><-431.2222><1><Shoreline><48><35
SL_E02: 164.1117><-397.9009><60.48345><-432.2222><1><Shoreline><258><35
SL_S08: 465.2012><-287.0089><471.6667><-306.6637><1><><48><35
SL_C07: 696.1149><-301.9005><638.4829><-471.222><1><><48><121
SL_A03: -1085.886><-399.9009><-926.516><-934.2208><0><Shoreline><48><35
SL_C06SAINT: -1414.888><-401.9009><-1297.516><-926.2208><0><Shoreline><162><35
SL_S04: -1381.81><-331.2524><-1160.897><-814.8083><0><><48><35
SL_A06: -1737.885><-404.9009><-1441.516><-923.2208><0><Shoreline><48><35
SL_D05: -2121.886><-406.9009><-1903.516><-918.2208><0><Shoreline><204><35
